Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
no checking account,11,critical account/ other credits existing,radio/television,1154,less than 291,unemployed,4,female : divorced/separated/married,none,4,real estate,57,,own,3,unskilled,1,none,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,1657,less than 116,less than 4 years,2,male : single,none,2,real estate,27,,own,1,skilled employee,1,none,Y,1
less than 0,24,existing credits paid back till now,radio/television,1603,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,car or other,55,,own,1,skilled employee,1,none,Y,1
less than 0,18,critical account/ other credits existing,new car,5302,less than 116,greater than 7 years,2,male : single,none,4,unkown/no property,36,,for free,3,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,education,2748,less than 116,greater than 7 years,2,female : divorced/separated/married,none,4,unkown/no property,57,none,for free,3,unskilled,1,none,Y,1
no checking account,10,critical account/ other credits existing,new car,1231,less than 116,greater than 7 years,3,male : single,none,4,real estate,32,,own,2,unskilled,2,none,N,1
less than 116,15,existing credits paid back till now,radio/television,802,less than 116,greater than 7 years,4,male : single,none,3,car or other,37,,own,1,skilled employee,2,none,Y,0
no checking account,36,critical account/ other credits existing,business,6304,unkown/no savings account,greater than 7 years,4,male : single,none,4,real estate,36,,own,2,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,radio/television,1533,less than 116,less than 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee,1,yes,Y,1
less than 0,14,existing credits paid back till now,new car,8978,less than 116,greater than 7 years,1,male : divocred/separated,none,4,building society saving agreement/life insurance,45,,own,1,self_employed/highly qualified employee,1,yes,N,0
no checking account,24,existing credits paid back till now,radio/television,999,unkown/no savings account,greater than 7 years,4,male : single,none,2,car or other,25,,own,2,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,new car,2662,unkown/no savings account,less than 7 years,4,male : single,none,3,building society saving agreement/life insurance,32,,own,1,skilled employee,1,none,N,1
no checking account,12,critical account/ other credits existing,furniture/equipment,1402,less than 582,less than 7 years,3,female : divorced/separated/married,none,4,car or other,37,,rent,1,skilled employee,1,yes,Y,1
less than 116,48,all credits at this bank paid back,new car,12169,unkown/no savings account,unemployed,4,male : single,co-applicant,4,unkown/no property,36,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,48,existing credits paid back till now,radio/television,3060,less than 116,less than 7 years,4,male : single,none,4,real estate,28,,own,2,skilled employee,1,none,Y,0
less than 0,30,existing credits paid back till now,repairs,11998,less than 116,less than 1 year,1,male : divocred/separated,none,1,unkown/no property,34,,own,1,unskilled,1,yes,Y,0
no checking account,9,existing credits paid back till now,radio/television,2697,less than 116,less than 4 years,1,male : single,none,2,real estate,32,,own,1,skilled employee,2,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,2404,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,car or other,26,,own,2,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,1262,unkown/no savings account,greater than 7 years,2,male : divocred/separated,none,4,building society saving agreement/life insurance,49,,own,1,unskilled,1,yes,Y,1
no checking account,6,existing credits paid back till now,furniture/equipment,4611,less than 116,less than 1 year,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,32,,own,1,skilled employee,1,none,Y,0
no checking account,24,existing credits paid back till now,radio/television,1901,less than 291,less than 4 years,4,male : single,none,4,car or other,29,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,15,critical account/ other credits existing,used car,3368,greater than 582,greater than 7 years,3,male : single,none,4,unkown/no property,23,,rent,2,skilled employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,furniture/equipment,1574,less than 116,less than 4 years,4,male : single,none,2,real estate,50,,own,1,skilled employee,1,none,Y,1
greater than or equal to 116,18,all credits at this bank paid back,radio/television,1445,unkown/no savings account,less than 7 years,4,male : single,none,4,car or other,49,none,own,1,unskilled,1,none,Y,1
no checking account,15,critical account/ other credits existing,furniture/equipment,1520,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,63,,own,1,skilled employee,1,none,Y,1
less than 116,24,critical account/ other credits existing,new car,3878,less than 291,less than 1 year,4,male : divocred/separated,none,2,car or other,37,,own,1,skilled employee,1,yes,Y,1
less than 0,47,existing credits paid back till now,new car,10722,less than 116,less than 1 year,1,female : divorced/separated/married,none,1,real estate,35,,own,1,unskilled,1,yes,Y,1
less than 0,48,existing credits paid back till now,used car,4788,less than 116,less than 7 years,4,male : single,none,3,building society saving agreement/life insurance,26,,own,1,skilled employee,2,none,Y,1
less than 116,48,delay in paying off in the past,others,7582,less than 291,unemployed,2,male : single,none,4,unkown/no property,31,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,radio/television,1092,less than 116,less than 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,,own,2,skilled employee,1,yes,Y,1
less than 0,24,delay in paying off in the past,radio/television,1024,less than 116,less than 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee,1,none,Y,0
no checking account,12,existing credits paid back till now,business,1076,less than 116,less than 4 years,2,male : married/widowed,none,2,real estate,26,,own,1,skilled employee,1,yes,N,1
less than 116,36,existing credits paid back till now,used car,9398,less than 116,less than 1 year,1,male : married/widowed,none,4,car or other,28,,rent,1,self_employed/highly qualified employee,1,yes,Y,0
less than 0,24,critical account/ other credits existing,used car,6419,less than 116,greater than 7 years,2,female : divorced/separated/married,none,4,unkown/no property,44,,for free,2,self_employed/highly qualified employee,2,yes,Y,1
greater than or equal to 116,42,critical account/ other credits existing,used car,4796,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,56,,for free,1,skilled employee,1,none,Y,1
no checking account,48,critical account/ other credits existing,business,7629,unkown/no savings account,greater than 7 years,4,male : divocred/separated,none,2,car or other,46,none,own,2,self_employed/highly qualified employee,2,none,Y,1
less than 116,48,existing credits paid back till now,furniture/equipment,9960,less than 116,less than 1 year,1,female : divorced/separated/married,none,2,car or other,26,,own,1,skilled employee,1,yes,Y,0
no checking account,12,existing credits paid back till now,used car,4675,unkown/no savings account,less than 1 year,1,female : divorced/separated/married,none,4,car or other,20,,rent,1,skilled employee,1,none,Y,1
no checking account,10,existing credits paid back till now,new car,1287,unkown/no savings account,greater than 7 years,4,male : single,co-applicant,2,building society saving agreement/life insurance,45,,own,1,unskilled,1,none,N,1
no checking account,18,existing credits paid back till now,furniture/equipment,2515,less than 116,less than 4 years,3,male : single,none,4,real estate,43,,own,1,skilled employee,1,yes,Y,1
less than 116,21,critical account/ other credits existing,furniture/equipment,2745,greater than 582,less than 7 years,3,male : single,none,2,car or other,32,,own,2,skilled employee,1,yes,Y,1
no checking account,6,existing credits paid back till now,new car,672,less than 116,unemployed,1,female : divorced/separated/married,none,4,real estate,54,,own,1,unemployed,1,yes,Y,1
less than 116,36,no credits taken/all credit paid back,radio/television,3804,less than 116,less than 4 years,4,female : divorced/separated/married,none,1,car or other,42,,own,1,skilled employee,1,yes,Y,0
greater than or equal to 116,24,critical account/ other credits existing,new car,1344,unkown/no savings account,less than 7 years,4,male : single,none,2,real estate,37,none,own,2,unskilled,2,none,Y,0
less than 0,10,critical account/ other credits existing,new car,1038,less than 116,less than 7 years,4,male : single,co-applicant,3,building society saving agreement/life insurance,49,,own,2,skilled employee,1,yes,Y,1
no checking account,48,critical account/ other credits existing,new car,10127,less than 582,less than 4 years,2,male : single,none,2,unkown/no property,44,none,for free,1,skilled employee,1,none,Y,0
no checking account,6,existing credits paid back till now,furniture/equipment,1543,greater than 582,less than 4 years,4,male : divocred/separated,none,2,real estate,33,,own,1,skilled employee,1,none,Y,1
no checking account,30,existing credits paid back till now,used car,4811,unkown/no savings account,less than 7 years,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,stores,rent,1,unskilled,1,none,Y,1
less than 0,12,existing credits paid back till now,radio/television,727,less than 291,less than 1 year,4,male : married/widowed,none,3,unkown/no property,33,,own,1,unskilled,1,yes,Y,0
less than 116,8,existing credits paid back till now,furniture/equipment,1237,less than 116,less than 4 years,3,female : divorced/separated/married,none,4,real estate,24,,own,1,skilled employee,1,none,Y,0
less than 116,9,existing credits paid back till now,new car,276,less than 116,less than 4 years,4,male : married/widowed,none,4,real estate,22,,rent,1,unskilled,1,none,Y,1
less than 116,48,existing credits paid back till now,others,5381,unkown/no savings account,unemployed,3,male : single,none,4,unkown/no property,40,none,for free,1,unemployed,1,yes,Y,1
no checking account,24,existing credits paid back till now,furniture/equipment,5511,less than 291,less than 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee,1,none,Y,1
greater than or equal to 116,24,existing credits paid back till now,furniture/equipment,3749,less than 116,less than 1 year,2,female : divorced/separated/married,none,4,car or other,26,,own,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,new car,685,less than 116,less than 7 years,2,male : married/widowed,none,3,car or other,25,none,own,1,unskilled,1,none,Y,0
greater than or equal to 116,4,existing credits paid back till now,new car,1494,unkown/no savings account,less than 1 year,1,male : single,none,2,real estate,29,,own,1,unskilled,2,none,N,1
less than 0,36,all credits at this bank paid back,furniture/equipment,2746,less than 116,greater than 7 years,4,male : single,none,4,car or other,31,none,own,1,skilled employee,1,none,Y,0
less than 0,12,existing credits paid back till now,furniture/equipment,708,less than 116,less than 4 years,2,male : single,guarantor,3,building society saving agreement/life insurance,38,,own,1,unskilled,2,none,Y,1
less than 116,24,existing credits paid back till now,furniture/equipment,4351,unkown/no savings account,less than 4 years,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,48,,own,1,unskilled,1,yes,Y,1
no checking account,12,critical account/ other credits existing,education,701,less than 116,less than 4 years,4,male : single,none,2,car or other,32,,own,2,skilled employee,1,none,Y,1
less than 0,15,delay in paying off in the past,furniture/equipment,3643,less than 116,greater than 7 years,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,27,,own,2,unskilled,1,none,Y,1
less than 116,30,critical account/ other credits existing,new car,4249,less than 116,unemployed,4,male : married/widowed,none,2,car or other,28,,own,2,self_employed/highly qualified employee,1,none,Y,0
less than 0,24,existing credits paid back till now,radio/television,1938,less than 116,less than 1 year,4,male : divocred/separated,none,3,building society saving agreement/life insurance,32,,own,1,skilled employee,1,none,Y,0
less than 0,24,existing credits paid back till now,used car,2910,less than 116,less than 7 years,2,male : single,none,1,unkown/no property,34,,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,2659,greater than 582,less than 4 years,4,male : single,none,2,car or other,28,,own,1,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,new car,1028,less than 116,less than 4 years,4,female : divorced/separated/married,none,3,real estate,36,,own,2,skilled employee,1,none,Y,1
less than 0,8,critical account/ other credits existing,new car,3398,less than 116,less than 7 years,1,male : single,none,4,real estate,39,,own,2,unskilled,1,none,N,1
no checking account,12,critical account/ other credits existing,furniture/equipment,5801,unkown/no savings account,greater than 7 years,2,male : single,none,4,building society saving agreement/life insurance,49,,rent,1,skilled employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,new car,1525,greater than 582,less than 7 years,4,female : divorced/separated/married,none,3,car or other,34,,own,1,skilled employee,2,yes,Y,1
greater than or equal to 116,36,existing credits paid back till now,radio/television,4473,less than 116,greater than 7 years,4,male : single,none,2,car or other,31,,own,1,skilled employee,1,none,Y,1
less than 116,6,existing credits paid back till now,radio/television,1068,less than 116,greater than 7 years,4,male : single,none,4,car or other,28,,own,1,skilled employee,2,none,Y,1
less than 0,24,critical account/ other credits existing,used car,6615,less than 116,unemployed,2,male : single,none,4,unkown/no property,75,,for free,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,18,critical account/ other credits existing,education,1864,less than 291,less than 4 years,4,female : divorced/separated/married,none,2,real estate,30,,own,2,skilled employee,1,none,Y,0
less than 116,60,existing credits paid back till now,new car,7408,less than 291,less than 1 year,4,female : divorced/separated/married,none,2,building society saving agreement/life insurance,24,,own,1,self_employed/highly qualified employee,1,none,Y,0
no checking account,48,critical account/ other credits existing,used car,11590,less than 291,less than 4 years,2,female : divorced/separated/married,none,4,car or other,24,none,rent,2,unskilled,1,none,Y,0
less than 0,24,no credits taken/all credit paid back,furniture/equipment,4110,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,23,none,rent,2,skilled employee,2,none,Y,0
less than 0,6,critical account/ other credits existing,furniture/equipment,3384,less than 116,less than 4 years,1,male : divocred/separated,none,4,real estate,44,,rent,1,self_employed/highly qualified employee,1,yes,Y,0
less than 116,13,existing credits paid back till now,radio/television,2101,less than 116,less than 1 year,2,female : divorced/separated/married,guarantor,4,building society saving agreement/life insurance,23,,own,1,unskilled,1,none,Y,1
less than 0,15,existing credits paid back till now,domestic appliances,1275,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,2,car or other,24,,rent,1,skilled employee,1,none,Y,0
less than 0,24,existing credits paid back till now,furniture/equipment,4169,less than 116,less than 4 years,4,male : single,none,4,building society saving agreement/life insurance,28,,own,1,skilled employee,1,none,Y,1
less than 116,10,existing credits paid back till now,furniture/equipment,1521,less than 116,less than 4 years,4,male : divocred/separated,none,2,car or other,31,,own,1,unskilled,1,none,Y,1
less than 116,24,critical account/ other credits existing,education,5743,less than 116,less than 1 year,2,female : divorced/separated/married,none,4,unkown/no property,24,,for free,2,skilled employee,1,yes,Y,1
less than 0,21,existing credits paid back till now,furniture/equipment,3599,less than 116,less than 7 years,1,female : divorced/separated/married,none,4,car or other,26,,rent,1,unskilled,1,none,Y,1
less than 116,18,existing credits paid back till now,radio/television,3213,less than 582,less than 1 year,1,male : married/widowed,none,3,real estate,25,,rent,1,skilled employee,1,none,Y,1
less than 116,18,existing credits paid back till now,business,4439,less than 116,greater than 7 years,1,male : single,co-applicant,1,real estate,33,none,own,1,self_employed/highly qualified employee,1,yes,Y,1
greater than or equal to 116,10,existing credits paid back till now,new car,3949,less than 116,less than 1 year,1,male : single,guarantor,1,building society saving agreement/life insurance,37,,own,1,unskilled,2,none,Y,1
no checking account,15,critical account/ other credits existing,radio/television,1459,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,car or other,43,,own,1,unskilled,1,none,Y,1
less than 116,13,critical account/ other credits existing,radio/television,882,less than 116,less than 1 year,4,male : single,guarantor,4,real estate,23,,own,2,skilled employee,1,none,Y,1
less than 116,24,existing credits paid back till now,radio/television,3758,less than 582,unemployed,1,female : divorced/separated/married,none,4,unkown/no property,23,,rent,1,unemployed,1,none,Y,1
no checking account,6,delay in paying off in the past,business,1743,less than 291,less than 4 years,1,male : single,none,2,real estate,34,,own,2,unskilled,1,none,Y,1
less than 116,9,critical account/ other credits existing,education,1136,greater than 582,greater than 7 years,4,male : single,none,3,unkown/no property,32,,for free,2,skilled employee,2,none,Y,0
no checking account,9,existing credits paid back till now,domestic appliances,1236,less than 116,less than 1 year,1,female : divorced/separated/married,none,4,real estate,23,,rent,1,skilled employee,1,yes,Y,1
less than 116,9,existing credits paid back till now,furniture/equipment,959,less than 116,less than 4 years,1,female : divorced/separated/married,none,2,car or other,29,,own,1,skilled employee,1,none,N,0
no checking account,18,critical account/ other credits existing,used car,3229,unkown/no savings account,unemployed,2,male : single,none,4,unkown/no property,38,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,no credits taken/all credit paid back,radio/television,6199,less than 116,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,28,,rent,2,skilled employee,1,yes,Y,0
no checking account,10,existing credits paid back till now,education,727,less than 582,greater than 7 years,4,male : single,none,4,unkown/no property,46,,for free,1,skilled employee,1,yes,Y,1
less than 116,24,existing credits paid back till now,new car,1246,less than 116,less than 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled,1,none,Y,0
no checking account,12,critical account/ other credits existing,radio/television,2331,unkown/no savings account,greater than 7 years,1,male : single,co-applicant,4,real estate,49,,own,1,skilled employee,1,yes,Y,1
no checking account,36,delay in paying off in the past,radio/television,4463,less than 116,less than 4 years,4,male : single,none,2,car or other,26,,own,2,self_employed/highly qualified employee,1,yes,Y,0
no checking account,12,existing credits paid back till now,radio/television,776,less than 116,less than 4 years,4,male : married/widowed,none,2,real estate,28,,own,1,skilled employee,1,none,Y,1
less than 0,30,existing credits paid back till now,furniture/equipment,2406,less than 116,less than 7 years,4,female : divorced/separated/married,none,4,real estate,23,,rent,1,skilled employee,1,none,Y,0
less than 116,18,existing credits paid back till now,education,1239,unkown/no savings account,less than 4 years,4,male : single,none,4,unkown/no property,61,,for free,1,skilled employee,1,none,Y,1
greater than or equal to 116,12,existing credits paid back till now,radio/television,3399,unkown/no savings account,greater than 7 years,2,male : single,none,3,car or other,37,,own,1,self_employed/highly qualified employee,1,none,Y,1
greater than or equal to 116,12,delay in paying off in the past,new car,2247,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee,1,yes,Y,1
no checking account,6,existing credits paid back till now,furniture/equipment,1766,less than 116,less than 4 years,1,male : married/widowed,none,2,building society saving agreement/life insurance,21,,rent,1,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,2473,less than 116,unemployed,4,male : single,none,1,car or other,25,,own,1,unemployed,1,none,Y,0
no checking account,12,existing credits paid back till now,business,1542,less than 116,less than 7 years,2,male : single,none,4,car or other,36,,own,1,skilled employee,1,yes,Y,1
no checking account,18,critical account/ other credits existing,used car,3850,less than 116,less than 7 years,3,male : single,none,1,car or other,27,,own,2,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,3650,less than 116,less than 1 year,1,female : divorced/separated/married,none,4,car or other,22,,rent,1,skilled employee,1,none,Y,1
less than 0,36,existing credits paid back till now,furniture/equipment,3446,less than 116,greater than 7 years,4,male : single,none,2,car or other,42,,own,1,skilled employee,2,none,Y,0
less than 116,18,existing credits paid back till now,furniture/equipment,3001,less than 116,less than 7 years,2,female : divorced/separated/married,none,4,real estate,40,,rent,1,skilled employee,1,none,Y,1
no checking account,36,existing credits paid back till now,new car,3079,unkown/no savings account,less than 4 years,4,male : single,none,4,real estate,36,,own,1,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,6070,less than 116,greater than 7 years,3,male : single,none,4,car or other,33,,own,2,skilled employee,1,yes,Y,1
no checking account,10,critical account/ other credits existing,furniture/equipment,2146,less than 116,less than 1 year,1,female : divorced/separated/married,none,3,real estate,23,,rent,2,skilled employee,1,none,Y,1
no checking account,60,critical account/ other credits existing,new car,13756,unkown/no savings account,greater than 7 years,2,male : single,none,4,unkown/no property,63,none,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,60,all credits at this bank paid back,others,14782,less than 291,greater than 7 years,3,female : divorced/separated/married,none,4,unkown/no property,60,none,for free,2,self_employed/highly qualified employee,1,yes,Y,0
less than 0,48,all credits at this bank paid back,business,7685,less than 116,less than 7 years,2,female : divorced/separated/married,guarantor,4,car or other,37,,rent,1,skilled employee,1,none,Y,0
no checking account,18,delay in paying off in the past,radio/television,2320,less than 116,unemployed,2,male : married/widowed,none,3,real estate,34,,own,2,skilled employee,1,none,Y,1
no checking account,7,delay in paying off in the past,radio/television,846,unkown/no savings account,greater than 7 years,3,male : single,none,4,unkown/no property,36,,for free,1,skilled employee,1,none,Y,1
less than 116,36,existing credits paid back till now,new car,14318,less than 116,greater than 7 years,4,male : single,none,2,unkown/no property,57,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,6,critical account/ other credits existing,new car,362,less than 291,less than 4 years,4,female : divorced/separated/married,none,4,car or other,52,,own,2,unskilled,1,none,Y,1
less than 0,20,existing credits paid back till now,furniture/equipment,2212,unkown/no savings account,less than 7 years,4,male : single,none,4,car or other,39,,own,1,skilled employee,1,yes,Y,1
less than 116,18,existing credits paid back till now,used car,12976,less than 116,unemployed,3,female : divorced/separated/married,none,4,unkown/no property,38,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,22,existing credits paid back till now,new car,1283,unkown/no savings account,less than 7 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,25,,rent,1,skilled employee,1,none,Y,1
greater than or equal to 116,12,existing credits paid back till now,new car,1330,less than 116,less than 1 year,4,male : single,none,1,real estate,26,,own,1,skilled employee,1,none,Y,1
no checking account,30,delay in paying off in the past,business,4272,less than 291,less than 4 years,2,male : single,none,2,building society saving agreement/life insurance,26,,own,2,unskilled,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,2238,less than 116,less than 4 years,2,female : divorced/separated/married,none,1,car or other,25,,own,2,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,radio/television,1126,unkown/no savings account,less than 1 year,4,female : divorced/separated/married,none,2,real estate,21,,rent,1,skilled employee,1,yes,Y,1
less than 116,18,critical account/ other credits existing,furniture/equipment,7374,less than 116,unemployed,4,male : single,none,4,building society saving agreement/life insurance,40,stores,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,15,critical account/ other credits existing,business,2326,less than 582,less than 4 years,2,male : single,none,4,car or other,27,none,own,1,skilled employee,1,none,Y,1
no checking account,9,existing credits paid back till now,business,1449,less than 116,less than 7 years,3,female : divorced/separated/married,none,2,car or other,27,,own,2,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,new car,1820,less than 116,less than 4 years,2,male : married/widowed,none,2,building society saving agreement/life insurance,30,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,furniture/equipment,983,greater than 582,less than 1 year,1,female : divorced/separated/married,none,4,real estate,19,,rent,1,unskilled,1,none,Y,1
less than 0,36,existing credits paid back till now,new car,3249,less than 116,less than 7 years,2,male : single,none,4,unkown/no property,39,none,for free,1,self_employed/highly qualified employee,2,yes,Y,1
less than 0,6,critical account/ other credits existing,radio/television,1957,less than 116,less than 7 years,1,female : divorced/separated/married,none,4,car or other,31,,own,1,skilled employee,1,none,Y,1
no checking account,9,critical account/ other credits existing,furniture/equipment,2406,less than 116,unemployed,2,male : single,none,3,car or other,31,,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 116,39,delay in paying off in the past,education,11760,less than 291,less than 7 years,2,male : single,none,3,unkown/no property,32,,rent,1,skilled employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,2578,less than 116,unemployed,3,female : divorced/separated/married,none,4,unkown/no property,55,,for free,1,self_employed/highly qualified employee,1,none,Y,1
less than 0,36,critical account/ other credits existing,furniture/equipment,2348,less than 116,less than 4 years,3,male : married/widowed,none,2,building society saving agreement/life insurance,46,,own,2,skilled employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,new car,1223,less than 116,greater than 7 years,1,male : divocred/separated,none,1,real estate,46,,rent,2,skilled employee,1,none,Y,0
no checking account,24,critical account/ other credits existing,radio/television,1516,greater than 582,less than 4 years,4,female : divorced/separated/married,none,1,real estate,43,,own,2,unskilled,1,none,Y,1
no checking account,18,existing credits paid back till now,radio/television,1473,less than 116,less than 1 year,3,male : married/widowed,none,4,real estate,39,,own,1,skilled employee,1,yes,Y,1
less than 116,18,critical account/ other credits existing,business,1887,unkown/no savings account,less than 4 years,4,male : married/widowed,none,4,real estate,28,none,own,2,skilled employee,1,none,Y,1
no checking account,24,delay in paying off in the past,business,8648,less than 116,less than 1 year,2,male : single,none,2,car or other,27,none,own,2,skilled employee,1,yes,Y,0
no checking account,14,delay in paying off in the past,new car,802,less than 116,less than 4 years,4,male : single,none,2,car or other,27,,own,2,unskilled,1,none,Y,1
less than 116,18,delay in paying off in the past,new car,2899,unkown/no savings account,greater than 7 years,4,male : single,none,4,car or other,43,,own,1,skilled employee,2,none,Y,1
less than 116,24,existing credits paid back till now,radio/television,2039,less than 116,less than 1 year,1,male : married/widowed,none,1,building society saving agreement/life insurance,22,,own,1,skilled employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,used car,2197,unkown/no savings account,less than 7 years,4,male : single,none,4,car or other,43,,own,2,skilled employee,2,yes,Y,1
less than 0,15,existing credits paid back till now,radio/television,1053,less than 116,less than 1 year,4,male : married/widowed,none,2,real estate,27,,own,1,skilled employee,1,none,N,1
no checking account,24,existing credits paid back till now,radio/television,3235,less than 582,greater than 7 years,3,male : divocred/separated,none,2,car or other,26,,own,1,self_employed/highly qualified employee,1,yes,Y,1
greater than or equal to 116,12,critical account/ other credits existing,new car,939,less than 582,less than 7 years,4,male : married/widowed,none,2,real estate,28,,own,3,skilled employee,1,yes,Y,0
less than 116,24,existing credits paid back till now,radio/television,1967,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,car or other,20,,own,1,skilled employee,1,yes,Y,1
no checking account,33,critical account/ other credits existing,used car,7253,less than 116,less than 7 years,3,male : single,none,2,car or other,35,,own,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,business,2292,less than 116,unemployed,4,male : single,none,2,car or other,42,stores,own,2,self_employed/highly qualified employee,1,yes,Y,0
no checking account,10,existing credits paid back till now,new car,1597,less than 582,less than 4 years,3,male : single,none,2,unkown/no property,40,,rent,1,unskilled,2,none,N,1
less than 0,24,existing credits paid back till now,new car,1381,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,2,building society saving agreement/life insurance,35,,own,1,skilled employee,1,none,Y,0
no checking account,36,critical account/ other credits existing,used car,5842,less than 116,greater than 7 years,2,male : single,none,2,building society saving agreement/life insurance,35,,own,2,skilled employee,2,yes,Y,1
less than 0,12,existing credits paid back till now,new car,2579,less than 116,less than 1 year,4,male : single,none,1,real estate,33,,own,1,unskilled,2,none,Y,0
less than 0,18,delay in paying off in the past,education,8471,unkown/no savings account,less than 4 years,1,female : divorced/separated/married,none,2,car or other,23,,rent,2,skilled employee,1,yes,Y,1
no checking account,21,existing credits paid back till now,new car,2782,less than 582,less than 7 years,1,female : divorced/separated/married,none,2,car or other,31,none,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 116,18,existing credits paid back till now,new car,1042,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,2,building society saving agreement/life insurance,33,,own,1,skilled employee,1,none,Y,0
no checking account,15,existing credits paid back till now,new car,3186,greater than 582,less than 7 years,2,female : divorced/separated/married,none,3,car or other,20,,rent,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,used car,2028,unkown/no savings account,less than 4 years,4,male : single,none,2,car or other,30,,own,1,skilled employee,1,none,Y,1
less than 116,12,critical account/ other credits existing,new car,958,less than 116,less than 7 years,2,male : single,none,3,real estate,47,,own,2,unskilled,2,none,Y,1
no checking account,21,delay in paying off in the past,furniture/equipment,1591,less than 291,less than 7 years,4,male : single,none,3,real estate,34,,own,2,self_employed/highly qualified employee,1,none,Y,1
less than 116,12,existing credits paid back till now,furniture/equipment,2762,unkown/no savings account,greater than 7 years,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,25,none,own,1,skilled employee,1,yes,Y,0
less than 116,18,existing credits paid back till now,used car,2779,less than 116,less than 4 years,1,male : married/widowed,none,3,car or other,21,,rent,1,skilled employee,1,yes,Y,1
no checking account,28,critical account/ other credits existing,radio/television,2743,less than 116,greater than 7 years,4,male : single,none,2,car or other,29,,own,2,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,1149,greater than 582,less than 4 years,4,male : single,none,3,real estate,46,,own,2,skilled employee,1,none,Y,1
